matreial,materialDescription,quantity,postingDate,cost,movementType,Movement Type Text,Material Document,Document Date,Reference,Storage Location,Customer,userName,Collective number,Time of Entry,reasonArea
157/86000,MIRROR.EXTERNAL,-1,13/12/2024,-9.36,551,GI scrapping,4013901216,13/12/2024,,PROD,,HOPKINSTR,,09:14:50,Damaged - Production  Z2
31AG/BA044,HOSE -04 BSP HP 440mm B,-2,13/12/2024,-10.07,551,GI scrapping,4013900437,13/12/2024,,PROD,,RAFEEQM,,08:41:53,PRODUCTION ROTO
320/08931,ASSY NON A/C IDLER (BR3),-1,13/12/2024,-13.99,551,GI scrapping,4013901346,13/12/2024,,PROD,,HOPKINSTR,,09:23:53,Damaged - Production Subs
332/D0628,HOSE 1/2BSP 730mm,-1,13/12/2024,-8.71,551,GI scrapping,4013901253,13/12/2024,,PROD,,HOPKINSTR,,09:17:19,Damaged - Production  Z2
332/D2730,H/BRAKE CABLE PS750,-9,13/12/2024,-72.63,551,GI scrapping,4013901370,13/12/2024,,PROD,,HOPKINSTR,,09:24:52,Damaged - Production Subs
332/D7008,HARNESS 510-56 STABILISERS,-3,13/12/2024,-12.28,551,GI scrapping,4013901167,13/12/2024,,PROD,,HOPKINSTR,,09:11:14,Damaged - Materials Int
332/G1948,FRONT BRAKE PIPE,-1,13/12/2024,-9.07,551,GI scrapping,4013901128,13/12/2024,,PROD,,HOPKINSTR,,09:07:33,Damaged - Materials Int
333/C6980,STEER MODE VALVE,-1,13/12/2024,-84.27,551,GI scrapping,4013901210,13/12/2024,,PROD,,HOPKINSTR,,09:12:55,Damaged - Materials Int
333/D2071,HOSE AIR CONDITIONING,-1,13/12/2024,-9.85,551,GI scrapping,4013901358,13/12/2024,,PROD,,HOPKINSTR,,09:24:25,Damaged - Production Subs
333/F8044,REAR DRIVESHAFT WALTER,-1,13/12/2024,-101.2,551,GI scrapping,4013901153,13/12/2024,,PROD,,HOPKINSTR,,09:08:29,Damaged - Materials Int
334/E6777,OIL COOLER FLUID TO FLUID,-1,13/12/2024,-82.4,551,GI scrapping,4013901774,13/12/2024,,PROD,,HOPKINSTR,,09:37:51,Damaged - Materials Int
334/E8262,LIFT ARM SUPPORT DEVICE (,-1,13/12/2024,-8.3,551,GI scrapping,4013901165,13/12/2024,,PROD,,HOPKINSTR,,09:10:04,Damaged - Materials Int
334/G3689,ABI HEADER TANK,-1,13/12/2024,-16.4,551,GI scrapping,4013901218,13/12/2024,,PROD,,HOPKINSTR,,09:16:08,Damaged - Production  Z2
334/L7733,HOSE -06 BSP HP 680mm B,-1,13/12/2024,-4.82,551,GI scrapping,4013901402,13/12/2024,,PROD,,HOPKINSTR,,09:27:49,Damaged - Production Subs
400/B7241,ABI DIPSTICK HMH,-3,13/12/2024,-43.17,551,GI scrapping,4013901409,13/12/2024,,PROD,,HOPKINSTR,,09:28:24,Damaged - Production Subs
400/D9359,FUEL HOSE - LIFT PUMP TO,-1,13/12/2024,-4.56,551,GI scrapping,4013901458,13/12/2024,,PROD,,HOPKINSTR,,09:30:04,Damaged - Production Subs
